category,ttl_cat_clicks,month_min_clicks,min_cat_clicks,max_cat_clicks,month_max_clicks,avg_cat_clicks,std_cat_clicks,co_var_cat
Accessories for kitchen appliances,774200,6,41856,118898,12,64516.666666666664,24704.09313650209,38.291025269700995
All-in-One PCs,921197,6,52846,134469,11,76766.41666666667,23784.127352112693,30.982463927406656
"Champagne, Sparkling Wine & Prosecco",656334,6,43985,81142,11,54694.5,11131.379858106297,20.351918123588835
Coffee & espresso,621284,6,36226,61849,3,51773.666666666664,6848.562149469881,13.22788705223997
Coffee machine cleaning,700288,6,44302,81720,1,58357.333333333336,9751.063795889919,16.709234707817217
Drills & Bits,816440,2,52772,87129,10,68036.66666666667,10828.154575695322,15.915175016944765
Epilators & Ladyshavers,734520,2,35819,93155,11,61210.0,17145.890236438587,28.011583460935448
"Eye, Ear & Nose Medicines",679391,8,48186,66167,1,56615.916666666664,6262.510598188576,11.0613957468178
Fireplaces & Stoves,859562,6,25040,132857,11,71630.16666666667,36987.83448608065,51.637230802777204
Garbage can,760390,6,47930,76567,1,63365.833333333336,8261.293700508451,13.03745767383861
Gastrointestinal Drugs,1050689,6,79532,103021,1,87557.41666666667,7124.125687451482,8.136518822355404
Joint & muscle preparations,1008338,6,67682,98852,1,84028.16666666667,10046.938184282211,11.956631428289574
Nursing Gift Sets,631597,9,33734,125065,12,52633.083333333336,28353.734650461618,53.87055603581705
PC Games,932796,6,55439,100989,4,77733.0,15033.996450469424,19.340558643651246
PC case,1002223,6,57153,116907,12,83518.58333333333,19476.29496900519,23.319714238055035
Painkiller,616568,6,45107,58187,1,51380.666666666664,3955.3137637483287,7.69805847286592
PowerLine,828710,6,55638,93677,11,69059.16666666667,13070.614444994428,18.926690077341064
Razor Blades & Shaving Heads,916636,4,64519,97742,11,76386.33333333333,10678.697514494015,13.979853526801062
Rechargeable batteries & batteries,776394,6,41282,93313,12,64699.5,17312.08432648342,26.757678693781894
Shower Products & Bath Products,644700,2,43084,82490,12,53725.0,12167.952483321244,22.64858535750813
Ski helmets & snowboard helmets,917360,6,10753,230441,1,76446.66666666667,72748.12555452525,95.16193279130363
Spirits & Schnapps,690482,2,45706,96605,12,57540.166666666664,14736.678939011841,25.61111618668439
USB sticks,886032,6,52446,96300,1,73836.0,12191.59764308637,16.51172550393625
VR glasses,690923,4,36180,114399,11,57576.916666666664,27149.481811422993,47.15341387348169
WC,680456,6,40665,72385,1,56704.666666666664,8620.45882910199,15.202379867210206
Wash,922521,6,56830,97775,3,76876.75,11349.15088633987,14.762787040737116
Xbox One games,784610,6,43162,94542,11,65384.166666666664,18805.04634319461,28.76085649154807
amplifier,867078,6,44303,102172,1,72256.5,17921.376217954203,24.802441604498146
baselayer,990363,4,49661,157074,1,82530.25,30792.288249805195,37.310305312058546
bike lights,696932,6,34775,83981,11,58077.666666666664,15666.381286246691,26.97488068204076
bike locks,907754,1,41649,116426,4,75646.16666666667,25654.879042727323,33.914314727638526
bike trailer,1033419,12,46923,128454,4,86118.25,29414.307684665673,34.155719240306986
binoculars,858330,2,59357,87215,11,71527.5,7583.111540546117,10.601672839881328
bridge cameras,739462,10,43942,76075,3,61621.833333333336,9586.29410653406,15.556651900761462
brushcutters,989056,1,17022,206148,6,82421.33333333333,68185.05247864191,82.72743199006962
camera bags,614672,6,43161,64005,12,51222.666666666664,5606.641083788423,10.945625147308007
camera tripods,822908,6,54612,85453,11,68575.66666666667,8607.285004664081,12.551514878451659
capsule machines,1055651,6,56432,144651,11,87970.91666666667,26648.617806415856,30.29253168679708
car batteries,1041300,6,58085,140230,1,86775.0,23860.060900630957,27.4964689145848
children's bikes,922349,1,43232,125410,3,76862.41666666667,23407.804702543643,30.454161757699495
cleaning supplies,632498,6,43635,62427,3,52708.166666666664,5401.3795852765625,10.247709087351858
clogs,747998,2,47445,74889,7,62333.166666666664,7430.0107651131275,11.919835237708861
coffee pad machines,768532,6,44958,100256,11,64044.333333333336,17580.691724592398,27.450815411083568
compressors,692466,2,49027,71499,11,57705.5,7450.550357950991,12.911334895202348
control software,889368,10,26561,160502,1,74114.0,42953.90450661774,57.9565325129095
cool boxes,753646,12,25164,149435,7,62803.833333333336,42408.70512231557,67.52566343718229
cutlery,957347,6,51163,137468,12,79778.91666666667,26981.910685960538,33.820853695841365
drinking bottles,715979,2,34990,86229,1,59664.916666666664,15168.085157858939,25.42211739370949
fertilizer,644218,12,12451,108478,3,53684.833333333336,32748.007516997634,61.0004827874992
fryers,1033097,6,46850,158620,11,86091.41666666667,35335.56054190461,41.04423171327139
garden chairs,692695,12,13825,113500,4,57724.583333333336,34955.27499913499,60.55526602467462
garden hoses,880972,1,17448,167462,7,73414.33333333333,56473.13550921734,76.92385525426553
garden houses,1009241,12,38530,136364,3,84103.41666666667,31976.478646479944,38.020427604284734
garden lamps,980195,6,64007,108857,11,81682.91666666667,12022.299836389904,14.718254840789724
garden pumps,927176,12,28965,143578,4,77264.66666666667,41218.370993203185,53.34698610818639
gin,628485,2,38799,78723,12,52373.75,11910.048493336892,22.74049212312827
hair colors,709277,6,48988,71358,3,59106.416666666664,6786.316238087742,11.481522008616226
hair dryer,732398,6,37529,119668,11,61033.166666666664,25286.778934431088,41.43120915310706
hair styler,800816,6,41096,152453,12,66734.66666666667,40342.98550347176,60.45281638249749
high chairs,997729,6,58434,122152,11,83144.08333333333,17340.768618061644,20.856286969381436
homeopathy,1057792,8,73251,103052,1,88149.33333333333,10817.121204438597,12.271359062392529
impact wrench,861425,8,50668,110891,11,71785.41666666667,19087.84678298225,26.590145560645094
jigsaws,916015,6,56084,118395,11,76334.58333333333,18842.42255925483,24.68399215199074
kids scooter,872874,1,36160,116399,11,72739.5,24748.587491373764,34.0235875849762
kitchen faucets,862811,6,51344,100429,1,71900.91666666667,12674.5428998326,17.62779041968533
knife,793438,6,42393,128903,12,66119.83333333333,25078.782193984887,37.929288278078275
laser printer,634150,6,36531,70358,11,52845.833333333336,9830.920153302337,18.603018503449977
liqueurs,753575,9,51562,104000,12,62797.916666666664,14150.470364545441,22.533343645230442
mattresses,884147,6,52943,96388,1,73678.91666666667,11427.386684932371,15.509710514110035
men's boots,969619,6,16612,223663,11,80801.58333333333,68782.49537023254,85.1251826173776
men's low shoes,1052219,6,73078,103735,11,87684.91666666667,9190.08906335647,10.480809485504219
men's shirts,688736,1,16266,120124,7,57394.666666666664,34520.58081606954,60.145973173005984
model railways,606172,6,28741,98309,12,50514.333333333336,21598.22219255066,42.7566212742601
motorcycle tires,729062,12,32584,79229,4,60755.166666666664,16007.609706484962,26.347734003119015
multifunction tools,747658,6,47888,87394,11,62304.833333333336,11435.373983893802,18.3539115219426
operating systems,762147,6,41660,87876,12,63512.25,14506.844535817003,22.8410181277108
outdoor navigation,749407,2,47455,81300,7,62450.583333333336,11221.555421746729,17.96869592370511
pocket knife,736249,6,50621,79294,12,61354.083333333336,8534.879617389654,13.910858338507195
purses,675324,6,39488,108291,12,56277.0,18955.550460820894,33.682588732201246
racing bikes,616508,12,30727,76553,8,51375.666666666664,13907.402962146281,27.070019455668927
rum,705940,6,43371,98319,11,58828.333333333336,18415.185183248454,31.303258378754773
sanitary installation,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275
sewing machines,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975
shopping bags,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886
shoulder bags,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175
smoke detector,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884
sockets,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177
sports glasses,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565
sports nutrition,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146
stuffed animals,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831
stylus,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126
sun care,822477,12,26556,180883,6,68539.75,48369.255934519926,70.57110061609492
thermos flasks,733768,9,34906,97556,1,61147.333333333336,19172.446902845346,31.35451025857548
thermostats,1049359,6,28530,198969,11,87446.58333333333,54278.32731638984,62.07026649570625
toy vehicles,823536,6,25911,200438,12,68628.0,59480.5381983354,86.67094800713325
tracksuits,908321,6,53258,97270,11,75693.41666666667,13233.028695161574,17.482403725328258
trekking sandals,694350,12,14641,143488,6,57862.5,45773.24940796356,79.10693351991974
turntable,643784,8,35788,86713,12,53648.666666666664,18823.30370159352,35.08624700507037
umbrellas,737030,12,8408,160126,6,61419.166666666664,53278.747391488665,86.74612548985306
washer dryer,761006,6,46658,101180,11,63417.166666666664,15479.85568897576,24.409566845426863
